Ct,sample,dilution
9.825225299788473,1,1
9.958084173511942,1,1
13.694414657386195,1,2
13.732158900856096,1,2
17.573419453015013,1,3
17.292624486341555,1,3
20.889626007801084,1,4
20.89779218165036,1,4
24.46063849558969,1,5
24.37728431804842,1,5
7.592644015740741,2,1
7.5433465504095105,2,1
11.261631250783466,2,2
11.273722452636743,2,2
14.717322435844018,2,3
14.795742907481596,2,3
18.45136915381168,2,4
18.416951178970915,2,4
21.969122455300354,2,5
21.93888399290736,2,5
10.175637688510685,3,1
10.103223389536923,3,1
15.814305030794019,3,2
15.832858049657945,3,2
20.26868389705095,3,3
20.19896354947203,3,3
24.485341680002882,3,4
24.45593244669,3,4
28.226917113219745,3,5
28.323685822369665,3,5
7.773121564705203,4,1
7.804163493404388,4,1
11.432367599056398,4,2
11.422214801327733,4,2
14.864301093708571,4,3
14.86921668693785,4,3
18.371967228384086,4,4
18.338152533631405,4,4
21.858139485289904,4,5
21.82655902370351,4,5
15.900038739262206,all,1
16.007202347022695,all,1
19.585414454920798,all,2
19.603033914409377,all,2
23.092689510310937,all,3
23.075489278089417,all,3
26.65882976203892,all,4
26.595896289549373,all,4
30.13593667633794,all,5
29.986040766816267,all,5
40.36020560351131,ntc,
,ntc,
,ntc,
